iter	Passed	Remaining
403	9438	2242
404	9458	2218
405	9478	2194
406	9502	2171
407	9525	2147
408	9546	2124
409	9571	2100
410	9593	2077
411	9617	2054
412	9642	2031
413	9665	2007
414	9686	1983
415	9706	1959
416	9731	1936
417	9754	1913
418	9773	1889
419	9796	1865
420	9820	1842
421	9844	1819
422	9863	1795
423	9885	1771
424	9912	1749
425	9932	1725
426	9956	1702
427	9978	1678
428	10000	1655
429	10025	1632
430	10049	1608
431	10072	1585
432	10097	1562
433	10121	1539
434	10145	1515
435	10165	1492
436	10185	1468
437	10206	1444
438	10228	1421
439	10251	1397
440	10277	1374
441	10298	1351
442	10323	1328
443	10345	1304
444	10367	1281
445	10392	1258
446	10412	1234
447	10438	1211
448	10458	1187
449	10476	1164
450	10497	1140
451	10522	1117
452	10544	1094
453	10571	1071
454	10593	1047
455	10617	1024
456	10638	1000
457	10659	977
458	10683	954
459	10703	930
460	10727	907
461	10752	884
462	10774	861
463	10799	837
464	10819	814
465	10844	791
466	10868	767
467	10889	744
468	10914	721
469	10934	697
470	10958	674
471	10983	651
472	11005	628
473	11030	605
474	11051	581
475	11071	558
476	11094	534
477	11115	511
478	11135	488
479	11159	464
480	11184	441
481	11209	418
482	11231	395
483	11251	371
484	11271	348
485	11296	325
486	11319	302
487	11341	278
488	11365	255
489	11387	232
490	11412	209
491	11434	185
492	11459	162
493	11479	139
494	11497	116
495	11516	92
496	11538	69
497	11559	46
498	11580	23
499	11604	0
